,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
85,Aljazeera,-0.04583,0.16898,0.1162,0.0,0.3487,0.0,0.0,https://www.aljazeera.com/news/2023/2/13/russia-ukraine-war-list-of-key-events-day-355
86,Aljazeera,0.12197,0.34924,0.0467,0.0467,0.2335,0.0,0.0467,https://www.aljazeera.com/news/2023/2/12/russia-ukraine-war-list-of-key-events-day-354
87,Aljazeera,0.02527,0.38524,0.1881,0.0376,0.3386,0.0752,0.0,https://www.aljazeera.com/news/2023/2/11/russia-ukraine-war-list-of-key-events-day-353
88,Aljazeera,0.06749,0.37613,0.1922,0.1647,0.2746,0.0,0.0,https://www.aljazeera.com/news/2023/2/11/wagner-mercenaries-boss-admits-russia-facing-bakhmut-resistance
89,Aljazeera,0.06415,0.27234,0.188,0.0188,0.3947,0.0564,0.0564,https://www.aljazeera.com/news/2023/2/10/russia-attacks-ukrainian-power-grid-and-gains-ground-in-the-east
90,Aljazeera,0.02877,0.38645,0.3287,0.2629,0.1753,0.0219,0.0219,https://www.aljazeera.com/news/2023/2/10/qa-wolfgang-ischinger-on-the-war-in-ukraine-and-western-support
91,Aljazeera,0.04555,0.30926,0.2858,0.0238,0.1905,0.0,0.0476,https://www.aljazeera.com/news/2023/2/10/romania-denies-russian-missiles-crossed-country
92,Aljazeera,0.00962,0.32206,0.0734,0.1591,0.2325,0.0489,0.0,https://www.aljazeera.com/news/2023/2/10/why-russia-lionises-inmates-fighting-in-ukraine
93,Aljazeera,-0.0108,0.27086,0.2254,0.0501,0.3005,0.025,0.0751,https://www.aljazeera.com/news/2023/2/10/russia-ukraine-war-list-of-key-events-day-352
94,Aljazeera,-0.02167,0.21167,0.0619,0.0619,0.2475,0.0,0.0,https://www.aljazeera.com/news/2023/2/10/ukraines-zaporizhzhia-reports-multiple-russian-missile-attacks
95,Aljazeera,0.03143,0.15959,0.2023,0.0,0.0578,0.0,0.1156,https://www.aljazeera.com/news/2023/2/9/italy-prime-minister-irked-by-inappropriate-zelenskyy-meeting
96,Aljazeera,0.06028,0.35124,0.3279,0.1913,0.1639,0.0,0.1093,https://www.aljazeera.com/news/2023/2/9/ukraines-president-says-europe-has-promised-jets-as-uk-hesitates
97,Aljazeera,-0.05727,0.43763,0.537,0.0948,0.3159,0.0316,0.0632,https://www.aljazeera.com/news/2023/2/9/ukraine-slams-roger-waters-over-un-security-council-speech
98,Aljazeera,0.06171,0.37454,0.2118,0.0588,0.3647,0.0118,0.0471,https://www.aljazeera.com/news/2023/2/9/ukraine-coils-itself-for-a-counteroffensive-as-allies-pledge-more
99,Aljazeera,0.05941,0.26663,0.2266,0.1942,0.1457,0.0647,0.0,https://www.aljazeera.com/news/2023/2/9/ukraine-war-tests-spanish-unity
100,Aljazeera,0.08961,0.26201,0.1239,0.0929,0.2788,0.031,0.062,https://www.aljazeera.com/news/2023/2/9/russia-ukraine-war-list-of-key-events-day-351
101,Aljazeera,0.02982,0.35126,0.2081,0.1387,0.1387,0.0347,0.0,https://www.aljazeera.com/news/2023/2/8/blinken-says-us-to-share-info-on-alleged-spy-balloon-with-allies
102,Aljazeera,0.00488,0.27061,0.027,0.0,0.2157,0.027,0.0,https://www.aljazeera.com/news/2023/2/8/us-has-questions-to-answer-over-nord-stream-blasts-russia-says
103,Aljazeera,0.08636,0.31209,0.2335,0.1401,0.2102,0.0,0.1868,https://www.aljazeera.com/news/2023/2/8/ukraines-zelenskyy-to-meet-pm-sunak-in-first-wartime-trip-to-uk
104,Aljazeera,-0.06573,0.21966,0.2779,0.139,0.2316,0.0,0.0,https://www.aljazeera.com/news/2023/2/8/russia-ukraine-war-list-of-key-events-day-350
105,Aljazeera,-0.00024,0.31328,0.2354,0.0942,0.4473,0.0,0.0,https://www.aljazeera.com/news/2023/2/7/nato-role-in-ukraine-threatens-unpredictable-escalation-russia
106,Aljazeera,0.02214,0.30298,0.2391,0.1063,0.2524,0.0,0.0266,https://www.aljazeera.com/news/2023/2/7/european-countries-promise-ukraine-more-tanks
107,Aljazeera,0.04147,0.29123,0.3466,0.0315,0.252,0.0315,0.0945,https://www.aljazeera.com/news/2023/2/7/russia-ukraine-war-list-of-key-events-day-349
108,Aljazeera,0.03144,0.33192,0.2382,0.2722,0.2382,0.034,0.0,https://www.aljazeera.com/news/2023/2/6/un-chief-warns-of-wider-war-as-ukraine-conflict-intensifies
109,Aljazeera,-0.02452,0.2875,0.303,0.0337,0.2357,0.0,0.1684,https://www.aljazeera.com/news/2023/2/6/russia-ukraine-war-list-of-key-events-day-348
110,Aljazeera,0.0792,0.3956,0.1877,0.0704,0.0939,0.0,0.0939,https://www.aljazeera.com/news/2023/2/6/ukraine-to-replace-defence-minister-after-corruption-scandals
111,Aljazeera,0.05436,0.39118,0.3017,0.1392,0.3249,0.0,0.0464,https://www.aljazeera.com/news/2023/2/5/mission-completed-ukraine-minister-says-warplanes-on-the-way
112,Aljazeera,0.02077,0.31528,0.0284,0.0284,0.3688,0.0,0.0,https://www.aljazeera.com/news/2023/2/5/europe-bans-russian-diesel-and-other-oil-products-over-ukraine
113,Aljazeera,0.00999,0.31389,0.145,0.0967,0.1209,0.2175,0.1934,https://www.aljazeera.com/news/2023/2/5/putin-promised-not-to-kill-zelenskyy-former-israeli-pm
114,Aljazeera,0.102,0.278,0.3759,0.1253,0.282,0.0,0.094,https://www.aljazeera.com/news/2023/2/5/russia-ukraine-war-list-of-key-events-day-347
115,Aljazeera,0.02859,0.34924,0.104,0.0416,0.1871,0.0,0.0832,https://www.aljazeera.com/news/2023/2/5/zelenskyy-says-situation-in-ukraines-east-getting-tougher
116,Aljazeera,0.00457,0.34787,0.143,0.0572,0.1716,0.0,0.0,https://www.aljazeera.com/news/2023/2/4/fire-at-odesa-power-substation-leaves-port-citys-grid-on-brink
117,Aljazeera,0.04171,0.34749,0.1252,0.1001,0.3004,0.025,0.025,https://www.aljazeera.com/news/2023/2/4/dozens-of-soldiers-freed-in-russia-ukraine-prisoner-swap
118,Aljazeera,0.00842,0.28485,0.3923,0.1177,0.3923,0.0392,0.1177,https://www.aljazeera.com/news/2023/2/4/russia-ukraine-war-list-of-key-events-day-346
