,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
178,BBC,0.06259,0.27852,0.3488,0.3488,0.0581,0.0,0.0,https://www.bbc.co.uk/news/uk-northern-ireland-60738831
179,BBC,-0.06476,0.2033,0.3617,0.2653,0.0965,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60663773
180,BBC,0.00606,0.39525,0.3464,0.1808,0.3916,0.1808,0.0,https://www.bbc.co.uk/news/world-europe-63255617
181,BBC,-0.02805,0.42761,0.2745,0.3477,0.4941,0.0183,0.0,https://www.bbc.co.uk/news/world-europe-61029931
182,BBC,-0.02082,0.2268,0.3193,0.3193,0.0491,0.0,0.0,https://www.bbc.co.uk/news/world-europe-61263855
183,BBC,0.05898,0.24649,0.3526,0.2518,0.0755,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64284986
184,BBC,0.10169,0.32512,0.3287,0.3757,0.047,0.0,0.0,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-61325368
185,BBC,0.06528,0.48891,0.194,0.194,0.097,0.0,0.0,https://www.bbc.co.uk/news/technology-64195492
186,BBC,0.01766,0.2122,0.4419,0.3038,0.1657,0.0276,0.0,https://www.bbc.co.uk/news/world-europe-60837125
187,BBC,0.00904,0.39359,0.169,0.1478,0.2112,0.0,0.0,https://www.bbc.co.uk/news/business-60557073
188,BBC,0.07983,0.31739,0.2562,0.2562,0.0466,0.0,0.0,https://www.bbc.co.uk/news/uk-politics-60692432
189,BBC,0.04904,0.4546,0.2496,0.1308,0.3447,0.0,0.0,https://www.bbc.co.uk/news/world-middle-east-63328274
190,BBC,0.03535,0.40181,0.269,0.1479,0.3093,0.0134,0.0403,https://www.bbc.co.uk/news/world-europe-64219979
191,BBC,0.02702,0.33391,0.3063,0.1872,0.3744,0.1702,0.0511,https://www.bbc.co.uk/news/world-europe-64055018
192,BBC,0.02289,0.35694,0.2086,0.1695,0.2216,0.0,0.013,https://www.bbc.co.uk/news/world-africa-63648681
193,BBC,0.02586,0.4172,0.1486,0.1208,0.1208,0.0,0.0093,https://www.bbc.co.uk/news/world-europe-64153581
194,BBC,-0.00636,0.40629,0.1734,0.2001,0.2001,0.0,0.0,https://www.bbc.co.uk/news/world-europe-63850875
195,BBC,-0.07005,0.19686,0.2834,0.335,0.1546,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64136703
196,BBC,-0.00627,0.31869,0.3531,0.185,0.2859,0.0336,0.0336,https://www.bbc.co.uk/news/world-europe-64135079
197,BBC,0.01378,0.40957,0.2946,0.1657,0.3682,0.0829,0.0,https://www.bbc.co.uk/news/world-europe-63386634
198,BBC,0.04496,0.39944,0.2068,0.1839,0.1839,0.0,0.0,https://www.bbc.com/news/articles/czr7dmd4n14o
199,BBC,0.02741,0.41772,0.1248,0.1803,0.1248,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64187212
200,BBC,0.04408,0.41338,0.2454,0.1937,0.1291,0.0,0.0,https://www.bbc.co.uk/news/world-60995064
